Nimeke,ISSN/NBN,"Digitoitu, avoin käyttö","Digitoitu, rajattu käyttö",Ilmestynyt vuosina,Digitointi-%,Niteitä,Sivuja,URL
Maalaisnuoriso,fk01359,1937,,1937,100.00 %,4,64,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01359
Maalarien viesti : Suomen maalarintyöntekijäin liiton äänenkannattaja,fk01361,1907 - 1925,,1907 - 1925,100.00 %,71,660,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01361
Maalarilehti : Suomen maalarityönantajainliiton julkaisu,0024-8568,1917 - 1939,1940 - 1944,1917 - 2002,32.56 %,254,9206,https://digi.kansalliskirjasto.fi/aikakausi/titles/0024-8568
Maalaustaito : tietoa ja ohjeita ammattimaalareille,fk01362,1939,1940 - 1944,1939 - 1948,60.00 %,19,376,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01362
Maallikkoin ääniä,fk01363,1895,,1895,100.00 %,2,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01363
Maamiehen Sanomat,fk10283,,1947 - 1950,1947 - 1950,100.00 %,150,1252,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10283
Maamiehen Ystävä,1457-4500,1844 - 1855,,1844 - 1855,100.00 %,624,2506,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4500
Maamies,fk01366,1898 - 1907,,1898 - 1907,100.00 %,266,4506,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01366
Maamies,fk01369,1923,,1923,100.00 %,5,72,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01369
Maamies : tietosanomia Suomen maanviljelystä ja sen sivu-elinkeinoja varten,fk01365,1877 - 1879,,1877 - 1879,100.00 %,54,868,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01365
Maamme,1458-2384,1889 - 1890,,1889 - 1890,100.00 %,146,584,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2384
Maamme Viikkosanoma,1458-2392,1890 - 1891,,1890 - 1891,100.00 %,10,40,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2392
Maan Sana,fk10287,1934 - 1939,1940 - 1941,1934 - 1941,100.00 %,736,3117,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10287
Maan romu : Maan romu ry:n julkaisu romun ja muiden jäteaineiden talteenoton edistämiseksi,fk01371,,1940 - 1941,1940 - 1941,100.00 %,8,136,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01371
Maan suola : maatalouskuvalehti,fk01372,1935 - 1939,1940 - 1944,1935 - 1944,100.00 %,80,1562,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01372
Maan turva,fk20100712,1939,,1939,100.00 %,14,112,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100712
Maan Ääni,fk34858,1919 - 1920,,1919 - 1920,100.00 %,40,336,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk34858
Maan ääni,fk01373,1936 - 1937,,1936 - 1937,100.00 %,3,68,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01373
Maanmittaus : aikakauskirja maanjako- ja karttatieteitä sekä geodesiaa varten,0047-5319,1926 - 1939,1940 - 1944,1926 - 2025,19.00 %,59,5199,https://digi.kansalliskirjasto.fi/aikakausi/titles/0047-5319
Maanpuolustusnuoriso : Akateemisen ilmasuojeluyhdistyksen julkaisu,fk01376,1936 - 1939,1940 - 1944,1936 - 1944,100.00 %,105,3176,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01376
Maantieturisti,fk33081,1928 - 1929,,1928 - 1929,100.00 %,2,148,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk33081
Maanviljelijä : Maanviljelijäin yleisen liiton äänenkannattaja,fk01377,1909 - 1912,,1909 - 1912,100.00 %,47,1358,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01377
Maanviljelijä : kokoelma maanviljelyskirjoituksia ja kaikenlaisia maanviljelijöille hyödyllisiä tietoja,fk27143,1888 - 1889,,1888 - 1889,100.00 %,2,198,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27143
Maanvuokraaja : Suomen maanvuokraajien äänenkannattaja,fk01379,1910 - 1918,,1910 - 1918,100.00 %,130,2800,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01379
Maanwiljelyslehti,fk01378,1872 - 1873,,1872 - 1873,100.00 %,15,326,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01378
Maarian V.- ja U.-seura Pyrkivä,fk20090746,,1941 - 1942,1941 - 1942,100.00 %,3,92,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090746
Maaselkä,0789-8150,,2017 - 2019,1966 - 2025,5.00 %,150,2704,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0789-8150
Maaselän torvi,fk20210195,,1942 - 1943,1942 - 1943,100.00 %,4,41,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20210195
Maaseudun Sanomat,fk10289,1920 - 1924,,1920 - 1924,100.00 %,1232,7108,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10289
Maaseudun Tulevaisuus,0355-3787,"1916 - 1939, 1916 - 1939","1940 - 2024, 1940 - 2024",1916 - 2025,100.00 %,15857,247788,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-3787
Maaseudun autonomistajain liiton vuosikirja,fk32394,1930 - 1934,,1930 - 1934,100.00 %,5,566,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32394
Maaseudun palovakuutus : Maaseudun paloapuyhdistysten liiton äänenkannattaja,fk03485,1932 - 1939,1940 - 1944,1932 - 1964,39.39 %,72,1630,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03485
Maaseudun sähköistys,fk01382,1923 - 1928,,1923 - 1928,100.00 %,23,1788,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01382
Maaseudun sähkönkäyttö : Maaseudun sähköistys-lehden erikoisosasto sähkönkäyttäjille,fk20100700,1927,,1926 - 1927,50.00 %,4,64,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100700
Maaseudun turva : aikakauslehti maaseudun vakuutus- ja talouselämän edistämiseksi,fk01384,1926 - 1929,,1926 - 1929,100.00 %,14,196,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01384
Maaseutu,fk10291,1916 - 1939,1940 - 1954,1916 - 1954,100.00 %,5919,24427,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10291
Maatalouden hevoshoitolehti,fk01388,1912 - 1923,,1912 - 1923,100.00 %,115,1812,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01388
Maatalouden karjanhoitolehti,fk01389,1911 - 1923,,1911 - 1923,100.00 %,85,1332,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01389
Maatalous,0024-8827,1907 - 1939,1940 - 1944,1907 - 1995,42.70 %,548,18724,https://digi.kansalliskirjasto.fi/aikakausi/titles/0024-8827
Maatalous,fk20110633,1921,,1921,100.00 %,1,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110633
Maatalouskerhoneuvoja : Maatalouskerholiiton tiedoituksia neuvojille,fk03487,,1940 - 1944,1940 - 1969,16.67 %,30,636,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03487
Maatalouslehti : aikakauskirja Pohjois- ja Itä-Suomea varten,fk01391,1896 - 1900,,1896 - 1900,100.00 %,22,736,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01391
Maatalousmyymälä : maataloustarvikekaupan tehostamiseksi,fk01392,1938 - 1939,1943 - 1944,1938 - 1969,12.50 %,11,42,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01392
Maatalousnainen,fk03488,,1940 - 1944,1940 - 1969,16.67 %,47,1396,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03488
Maatalousteknikko,fk03491,1939,1940 - 1944,1939 - 1946,75.00 %,14,220,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03491
Maataloustieteellinen aikakauskirja,1237-3664,1929 - 1939,1940 - 1966,1929 - 1966,100.00 %,105,9161,https://digi.kansalliskirjasto.fi/aikakausi/titles/1237-3664
Maataloustuottaja : Maataloustuottajain keskusliiton julkaisu,0355-0494,1928 - 1939,1940 - 1944,1928 - 2001,22.97 %,63,1248,https://digi.kansalliskirjasto.fi/aikakausi/titles/0355-0494
"Maataloustyönjohtajain lehti : maanviljelys-, karjatalous-, metsänhoito-, puutarha- ja meijeritaloudentyönjohtajain äänenkannattaja",fk01191,1919 - 1928,,1917 - 1928,83.33 %,116,3076,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01191
Machinery,fk01396,1938 - 1939,1941 - 1944,1938 - 1950,46.15 %,19,419,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01396
Maiden ja merien takaa,1458-2406,1863 - 1866,,1863 - 1866,100.00 %,85,602,https://digi.kansalliskirjasto.fi/aikakausi/titles/1458-2406
Mainostaja,0025-0856,1934 - 1939,"1940 - 1941, 1943",1934 - 1973,22.50 %,33,1926,https://digi.kansalliskirjasto.fi/aikakausi/titles/0025-0856
Maito : Kulutusmaidontuottajain liiton julkaisu,0355-0508,1927 - 1939,"1941 - 1942, 1944, 1946",1927 - 1976,34.00 %,34,988,https://digi.kansalliskirjasto.fi/aikakausi/titles/0355-0508
